Company,Date,# Laid Off
Google,2023-01-20,12000
Google,2023-09-13,75
Google,2023-10-18,40
Google,2023-11-08,
Google,2024-01-10,1000
Google,2024-01-22,
Google,2024-01-16,
Google,2024-04-17,
Google,2024-04-30,
Google,2024-05-01,200
Google,2024-05-10,57
Google,2024-05-31,100
Google,2025-02-27,
Google,2025-04-11,
Google,2025-06-24,75
Google,2025-10-01,100
Google,2025-10-02,50
Microsoft,2022-10-17,
Microsoft,2022-07-12,
Microsoft,2023-01-18,10000
Microsoft,2023-05-10,158
Microsoft,2023-07-18,1000
Microsoft,2024-01-25,1900
Microsoft,2024-06-03,1000
Microsoft,2024-07-03,
Microsoft,2024-09-12,650
Microsoft,2025-01-07,
Microsoft,2025-01-14,
Microsoft,2025-05-13,6000
Microsoft,2025-06-02,305
Microsoft,2025-06-24,
Microsoft,2025-07-02,9000
Microsoft,2025-09-08,42
Meta,2022-11-09,11000
Meta,2023-03-14,10000
Meta,2023-10-04,
Meta,2024-03-06,
Meta,2024-10-16,
Meta,2025-02-10,3600
Meta,2025-04-24,100
Meta,2025-10-22,600
Meta,2026-01-13,1500
Tesla,2022-06-03,
Tesla,2024-04-15,14000
Tesla,2024-04-30,500
Amazon,2022-11-16,10000
Amazon,2023-01-04,8000
Amazon,2022-10-28,150
Amazon,2023-03-20,9000
Amazon,2023-07-13,80
Amazon,2023-11-08,
Amazon,2023-11-13,180
Amazon,2023-11-17,
Amazon,2024-01-10,
Amazon,2024-01-18,30
Amazon,2024-02-06,400
Amazon,2024-04-03,
Amazon,2025-01-29,
Amazon,2025-05-14,100
Amazon,2025-07-17,
Amazon,2025-10-27,14000
Amazon,2025-12-15,84
Amazon,2026-01-28,16000
Amazon,2026-03-04,100
